DEPT,Vp,Vs,DEN,phi,Kbulk_GPa,K_bg_depth,phi_bg_depth
1982.1144,4096.333727556177,2215.2450723879297,2.6235,0.07888030303030302,26.856425908588687,22.421517446184428,0.11511818181818183
1982.2668,3897.6184630493494,2131.7845722582647,2.5986,0.1033257575757576,23.73064664901776,22.432883122636888,0.1146984848484848
1982.4192,3813.1124530397933,2091.721435958531,2.5808,0.11601969696969694,22.46869038547642,22.432883122636888,0.114669696969697
1982.5716,3818.280896694707,2083.9401236416443,2.5754,0.11705606060606055,22.634831127811587,22.432883122636888,0.114669696969697
1982.724,3839.3421725537423,2126.6975903009193,2.5742,0.114669696969697,22.421517446184428,22.432883122636888,0.1146984848484848
1982.8764,3880.0790782520808,2162.8418379330387,2.5735,0.11253181818181812,22.692695538917192,22.432883122636888,0.11511818181818183
1983.0288,3901.175344264645,2197.6579945217177,2.5761,0.10974393939393942,22.61704560271312,22.421517446184428,0.11515606060606055
1983.1812,3927.804681922563,2197.014856520081,2.5823,0.10576515151515148,23.21956967513651,22.35478181077819,0.11515606060606055
1983.3336,3944.3647864504346,2170.73917657197,2.5861,0.10236363636363632,23.986600249903436,22.343213234902883,0.11511818181818183
1983.486,3919.9446475007776,2135.690627555314,2.586,0.10339393939393941,24.0094586516174,22.315226920459974,0.1146984848484848
1983.6384,3893.7447144459466,2097.2727197663826,2.5856,0.10366515151515152,24.037058203406797,22.315226920459974,0.114669696969697
1983.7908,3850.2787283469193,2070.875862270449,2.5909,0.10545909090909089,23.594317153211396,22.315226920459974,0.11448939393939396
1983.9432,3810.9384435917345,2044.0668077215832,2.5967,0.10515151515151519,23.246453859938484,22.315226920459974,0.11448939393939396
1984.0956,3806.0844905803156,2016.9628694870178,2.6024,0.10542424242424245,23.583192194448664,22.315226920459974,0.11448939393939396
1984.248,3785.6582176604434,1998.4500210466686,2.6035,0.10429090909090909,23.447480696378882,22.315226920459974,0.11448939393939396
1984.4004,3737.730971662898,1960.171476418134,2.6043,0.10179848484848487,23.041812997900877,22.343213234902883,0.11448939393939396
1984.5528,3683.37033219215,1901.7136011829557,2.6041,0.10350909090909093,22.773368834508865,22.35478181077819,0.11448636363636364
1984.7052,3636.298563017842,1868.5527115164275,2.6093,0.10508333333333325,22.35478181077819,22.421517446184428,0.11419242424242423
1984.8576,3627.2112243622933,1847.5033852711308,2.6102,0.11346060606060608,22.46243175198859,22.432883122636888,0.11354242424242415
